Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
"1","0","Hushbringer","Throne of Eldraine","18","","","","","","","","","",""
"1","0","Quirion Ranger","Modern Horizons 2","285e","","","","","","","","","",""
"1","0","Swamp","Dominaria United","279","","","","","","","","","",""
"1","0","Wrenn's Resolve","March of the Machine","173","","","","","","","","","",""
"1","0","Steel Seraph","The Brothers' War","38","","","","","","","","","",""
"5","0","Devoted Druid","Shadowmoor","110","","","","","","","","","",""
"1","0","Guile","Lorwyn","69","","","","","","","","","",""
"1","0","Tainted Peak","Innistrad: Crimson Vow Commander","184","","","","","","","","","",""
"1","0","Arcane Signet","Commander 2020","237","","","","","","","","","",""
"1","0","Elvish Archdruid","Magic 2012","172","","","","","","","","","",""
"1","0","Golgari Thug","Ultimate Masters","98","","","","","","","","","",""
"1","0","Goro-Goro and Satoru","March of the Machine Commander","445","","","","","","","","","",""
"1","0","Heartless Act","Ikoria: Lair of Behemoths","91","","","foil","","","","","","",""
"1","0","Isolated Watchtower","Commander 2018","59","","","","","","","","","",""
"1","0","Karador, Ghost Chieftain","Double Masters 2022","238","","","","","","","","","",""
"3","0","Portable Hole","Adventures in the Forgotten Realms","33","","","","","","","","","",""
"1","0","Scourge of the Skyclaves","Zendikar Rising","122","","","","","","","","","",""
"1","0","Skred","The List","155","","","","","","","","","",""
"1","0","Tormod's Crypt","Core Set 2021","241","","","foil","","","","","","",""
"1","0","Vitalize","Weatherlight","145","","","","","","","","","",""
"3","0","Wellwisher","Onslaught","300","","","","","","","","","",""
"1","0","Éowyn, Fearless Knight","The Lord of the Rings: Tales of Middle-earth","430","","","","","","","","","",""
"2","0","Chain Lightning","Battlebond","171","","","","","","","","","",""
"2","0","Diabolic Tutor","Magic 2011","93","","","","","","","","","",""
"1","0","Dig Through Time","Love Your LGS","2","","","foil","","","","","","",""
"1","0","Patron of the Vein","Innistrad: Crimson Vow Commander","135","","","","","","","","","",""
"4","0","Vault of Whispers","Mirrodin","286","","","","","","","","","",""
"1","0","In Garruk's Wake","Commander Legends: Battle for Baldur's Gate","759","","","","","","","","","",""
"1","0","Khalni Garden","Planechase 2012","122","","","","","","","","","",""
"1","0","Serum Powder","Iconic Masters","228","","","","","","","","","",""
"1","0","Quirion Ranger","Visions","117","","","","","","","","","",""
"1","0","Unclaimed Territory","Commander 2020","320","","","","","","","","","",""
"1","0","Sanctum Seeker","Innistrad: Crimson Vow Commander","136","","","","","","","","","",""
"1","0","Entish Restoration","The Lord of the Rings: Tales of Middle-earth","163","","","","","","","","","",""
"1","0","Polukranos Reborn // Polukranos, Engine of Ruin","March of the Machine","200","","","","","","","","","",""
"1","0","Rakdos Signet","Innistrad: Crimson Vow Commander","166","","","","","","","","","",""
"1","0","Resolute Reinforcements","Dominaria United","430","","","","","","","","","",""
"1","0","Shivan Reef","Dominaria United","255","","","","","","","","","",""
"1","0","Cast Down","Dominaria","81","","","foil","","","","","","",""
"1","0","Valiant Veteran","Dominaria United","38","","","foil","","","","","","",""
"1","0","Radha, Heart of Keld","Core Set 2021","224","","","","","","","","","",""
"1","0","Crossway Troublemakers","Innistrad: Crimson Vow Commander","17","","","","","","","","","",""
"1","0","End the Festivities","Innistrad: Crimson Vow","155","","","","","","","","","",""
"1","0","Slaughter Singer","Phyrexia: All Will Be One","281","","","foil","","","","","","",""
"1","0","Gray Merchant of Asphodel","Commander 2014","146","","","","","","","","","",""
"1","0","Vizier of Many Faces","Amonkhet","74","","","","","","","","","",""
"1","0","Fumigate","Kaladesh","15","","","","","","","","","",""
"1","0","Imposing Grandeur","Innistrad: Crimson Vow Commander","24","","","","","","","","","",""
"1","0","Necropolis Regent","Explorers of Ixalan","20","","","","","","","","","",""
"1","0","Cry of the Carnarium","Ravnica Allegiance","70","","","foil","","","","","","",""
"1","0","Scavenging Ooze","Love Your LGS","5","","","foil","","","","","","",""
"3","0","Aether Gust","Core Set 2020","42","","","","","","","","","",""
"1","0","Mob Rule","Innistrad: Crimson Vow Commander","147","","","","","","","","","",""
"1","0","Bring to Light","Double Masters 2022","188","","","foil","","","","","","",""
"2","0","Dawn Charm","Planar Chaos","4","","","","","","","","","",""
"1","0","Ecological Appreciation","Strixhaven: School of Mages","128","","","","","","","","","",""
"2","0","Elder Brain","Commander Legends: Battle for Baldur's Gate","936","","","foil","","","","","","",""
"1","0","Moonsilver Key","Innistrad: Midnight Hunt","255","","","","","","","","","",""
"1","0","Blue Elemental Blast","Signature Spellbook: Jace","2","","","","","","","","","",""
"1","0","Jinnie Fay, Jetmir's Second","Streets of New Capenna","195","","","foil","","","","","","",""
"1","0","Chainer's Edict","Dominaria Remastered","425","","","","","","","","","",""
"2","0","Return to Dust","Time Spiral","39","","","","","","","","","",""
"2","0","Dash Hopes","Planar Chaos","68","","","","","","","","","",""
"1","0","Feed the Swarm","Innistrad: Crimson Vow Commander","129","","","","","","","","","",""
"1","0","Kayla's Command","The Brothers' War Promo Pack","9p","","","","","","","","","",""
"2","0","Nihil Spellbomb","Scars of Mirrodin","187","","","","","","","","","",""
"1","0","Rienne, Angel of Rebirth","Dominaria United Commander","166","","","","","","","","","",""
"1","0","Siege Veteran","The Brothers' War","25","","","","","","","","","",""
"1","0","Wall of Roots","30th Anniversary Promos","4","","","foil","","","","","","",""
"1","0","Llanowar Tribe","Kaldheim Commander","66","","","","","","","","","",""
"1","0","Elder Brain","Commander Legends: Battle for Baldur's Gate","125","","","","","","","","","",""
"1","0","Chitterspitter","Modern Horizons 2","153","","","","","","","","","",""
"1","0","Command the Dreadhorde","War of the Spark","82","","","","","","","","","",""
"3","0","Damping Sphere","Dominaria","213","","","","","","","","","",""
"4","0","Faithless Looting","Dark Ascension","87","","","","","","","","","",""
"1","0","Glass-Cast Heart","Innistrad: Crimson Vow Commander","18","","","","","","","","","",""
"1","0","Imperious Perfect","Lorwyn","220","","","","","","","","","",""
"1","0","Kessig Flamebreather","Innistrad: Crimson Vow","164","","","","","","","","","",""
"1","0","Malakir Bloodwitch","Innistrad: Crimson Vow Commander","131","","","","","","","","","",""
"1","0","Silhana Ledgewalker","Guildpact","94","","","","","","","","","",""
"1","0","Supreme Phantom","Core Set 2019","76","","","","","","","","","",""
"3","0","Underworld Dreams","Theros Beyond Death","121","","","","","","","","","",""
"1","0","Undying Malice","Innistrad: Crimson Vow","134","","","","","","","","","",""
"1","0","Blue Elemental Blast","Masters 25","43","","","","","","","","","",""
"1","0","Scattershot Archer","Conflux","90","","","","","","","","","",""
"1","0","Wood Elves","Ninth Edition","283","","","","","","","","","",""
"1","0","Tenacious Underdog","Streets of New Capenna","97","","","","","","","","","",""
"3","0","Narcomoeba","Modern Masters","55","","","","","","","","","",""
"1","0","Smoldering Marsh","Innistrad: Crimson Vow Commander","183","","","","","","","","","",""
"4","0","Elvish Mystic","Magic 2014 Core Set","169","","","","","","","","","",""
"1","0","Go for the Throat","The Brothers' War","102","","","","","","","","","",""
"3","0","Gray Merchant of Asphodel","Theros Beyond Death","99","","","","","","","","","",""
"4","0","Stinkweed Imp","Ravnica: City of Guilds","107","","","","","","","","","",""
"1","0","Mirkwood Bats","The Lord of the Rings: Tales of Middle-earth","421","","","","","","","","","",""
"1","0","Forsworn Paladin","Promo pack: Adventures in the Forgotten Realms","104p","","","","","","","","","",""
"1","0","Gifted Aetherborn","Aether Revolt","61","","","","","","","","","",""
"3","0","Chainer's Edict","Dominaria Remastered","300","","","","","","","","","",""
"1","0","Control Magic","Duel Decks: Jace vs. Vraska","30","","","","","","","","","",""
"1","0","Green Sun's Twilight","Phyrexia: All Will Be One","284","","","foil","","","","","","",""
"1","0","Tolarian Terror","Dominaria United","72","","","","","","","","","",""
"4","0","Accumulated Knowledge","Nemesis","26","","","","","","","","","",""
"1","0","Annex Sentry","WPN/Gateway","107","","","","","","","","","",""
"1","0","Anowon, the Ruin Sage","Innistrad: Crimson Vow Commander","118","","","","","","","","","",""
"1","0","Ash Barrens","Masters 25","236","","","","","","","","","",""
"1","0","Bladehold War-Whip","Phyrexia: All Will Be One","280","","","","","","","","","",""
"1","0","Bloodline Necromancer","Innistrad: Crimson Vow Commander","120","","","","","","","","","",""
"1","0","Bloodlord of Vaasgoth","Innistrad: Crimson Vow Commander","121","","","","","","","","","",""
"4","0","Chittering Rats","Darksteel","39","","","","","","","","","",""
"1","0","Clone","Magic 2010","45","","","","","","","","","",""
"1","0","Dack's Duplicate","Double Masters 2022","198","","","","","","","","","",""
"1","0","Devilish Valet","Streets of New Capenna","105","","","","","","","","","",""
"1","0","Exalted Angel","30th Anniversary Promos","10","","","foil","","","","","","",""
"2","0","Go Blank","Strixhaven: School of Mages","72","","","","","","","","","",""
"1","0","In Search of Greatness","Kaldheim","177","","","","","","","","","",""
"1","0","Khalni Garden","Commander 2013","302","","","","","","","","","",""
"2","0","Micromancer","Dominaria United","431","","","","","","","","","",""
"1","0","Nihil Spellbomb","The List","1004","","","","","","","","","",""
"1","0","Old Rutstein","Innistrad: Crimson Vow","244","","","","","","","","","",""
"1","0","Predators' Hour","Innistrad: Crimson Vow Commander","21","","","","","","","","","",""
"1","0","Ratadrabik of Urborg","Dominaria United","312","","","","","","","","","",""
"2","0","Remorseful Cleric","Core Set 2019","33","","","","","","","","","",""
"1","0","Stormtide Leviathan","Magic 2013","70","","","","","","","","","",""
"3","0","Supreme Phantom","Innistrad: Crimson Vow Commander","115","","","","","","","","","",""
"1","0","The Balrog, Durin's Bane","The Lord of the Rings: Tales of Middle-earth","195","","","","","","","","","",""
"1","0","Threats Undetected","Dominaria United","185","","","foil","","","","","","",""
"1","0","Timothar, Baron of Bats","Innistrad: Crimson Vow Commander","4","","","","","","","","","",""
"1","0","Unwind","Dominaria","72","","","","","","","","","",""
"1","0","Urabrask's Forge","Phyrexia: All Will Be One","153","","","","","","","","","",""
"1","0","Volatile Fjord","Kaldheim","273","","","","","","","","","",""
"1","0","Wash Away","Innistrad: Crimson Vow","87","","","","","","","","","",""
"1","0","Ash Barrens","Commander 2016","56","","","","","","","","","",""
"4","0","Birchlore Rangers","Onslaught","248","","","","","","","","","",""
"1","0","Cut Your Losses","Streets of New Capenna","38","","","","","","","","","",""
"1","0","Dark Impostor","Commander 2017","109","","","","","","","","","",""
"1","0","Ezuri, Stalker of Spheres","Phyrexia: All Will Be One","201","","","","","","","","","",""
"1","0","Khalni Garden","Worldwake","138","","","","","","","","","",""
"1","0","Krosan Verge","Commander 2020","285","","","foil","","","","","","",""
"1","0","Narcomoeba","Guilds of Ravnica","47","","","","","","","","","",""
"4","0","Ornithopter","Mirrodin","224","","","","","","","","","",""
"2","0","Rally the Ranks","Kaldheim","20","","","","","","","","","",""
"1","0","Skyknight Vanguard","Core Set 2020","218","","","","","","","","","",""
"1","0","Soul-Guide Lantern","The Brothers' War Retro Artifacts","117","","","","","","","","","",""
"1","0","Temple of Malice","Innistrad: Crimson Vow Commander","186","","","","","","","","","",""
"2","0","Void Mirror","Modern Horizons 2","242","","","","","","","","","",""
"2","0","Witch's Cottage","Throne of Eldraine","249","","","","","","","","","",""
"1","0","Contaminated Aquifer","Dominaria United","245","","","","","","","","","",""
"1","0","Frogmite","Mirrodin","172","","","","","","","","","",""
"1","0","Hidetsugu and Kairi","March of the Machine","228","","","","","","","","","",""
"4","0","Lys Alana Huntmaster","Lorwyn","229","","","","","","","","","",""
"2","0","Molten Rain","Mirrodin","101","","","","","","","","","",""
"2","0","Rattlechains","Shadows over Innistrad","81","","","","","","","","","",""
"1","0","Timberwatch Elf","Commander 2014","220","","","","","","","","","",""
"1","0","Conflagrate","Time Spiral","151","","","","","","","","","",""
"2","0","Rattlechains","Jumpstart","166","","","","","","","","","",""
"6","0","Simic Growth Chamber","Dissension","180","","","","","","","","","",""
"1","0","Burrenton Forge-Tender","Iconic Masters","14","","","","","","","","","",""
"3","0","Crypt Rats","Modern Horizons","84","","","","","","","","","",""
"1","0","Drown in Ichor","Phyrexia: All Will Be One","91","","","","","","","","","",""
"1","0","Fierce Empath","Scourge","119","","","","","","","","","",""
"1","0","Path of Ancestry","Commander 2017","56","","","","","","","","","",""
"2","0","Pestilence","Urza's Saga","147","","","","","","","","","",""
"3","0","Phylath, World Sculptor","Zendikar Rising","234","","","","","","","","","",""
"2","0","Rumor Gatherer","Streets of New Capenna","463","","","","","","","","","",""
"4","0","Smash to Smithereens","Shadowmoor","107","","","","","","","","","",""
"2","0","Timberwatch Elf","Legions","140","","","","","","","","","",""
"1","0","Audacity","The Brothers' War","169","","","","","","","","","",""
"1","0","Fire Diamond","Innistrad: Crimson Vow Commander","164","","","","","","","","","",""
"1","0","Join the Dance","Innistrad: Midnight Hunt","391","","","","","","","","","",""
"1","0","Khalni Garden","Commander 2018","262","","","","","","","","","",""
"4","0","Lead the Stampede","Duel Decks: Ajani vs. Nicol Bolas","24","","","","","","","","","",""
"1","0","Llanowar Loamspeaker","Dominaria United","170","","","","","","","","","",""
"4","0","Shaman of the Pack","Magic Origins","217","","","","","","","","","",""
"4","0","Lightning Bolt","Commander Legends: Battle for Baldur's Gate","401","","","","","","","","","",""
"4","0","Vizier of Remedies","Amonkhet","38","","","","","","","","","",""
"1","0","Hurkyl's Final Meditation","The Brothers' War Promo Pack","52p","","","","","","","","","",""
"4","0","Nettle Sentinel","Eventide","71","","","","","","","","","",""
"1","0","Surtland Flinger","Kaldheim","377","","","","","","","","","",""
"2","0","Gaea's Gift","The Brothers' War","182","","","","","","","","","",""
"4","0","Otherworldly Gaze","Innistrad: Midnight Hunt","67","","","","","","","","","",""
"1","0","Anje's Ravager","Innistrad: Crimson Vow Commander","141","","","","","","","","","",""
"1","0","Butcher of Malakir","Innistrad: Crimson Vow Commander","123","","","","","","","","","",""
"1","0","Command Tower","Innistrad: Crimson Vow Commander","172","","","","","","","","","",""
"1","0","Entrancing Melody","Ixalan","55","","","","","","","","","",""
"2","0","Golgari Rot Farm","Duel Decks: Izzet vs. Golgari","80","","","","","","","","","",""
"1","0","Golgari Rot Farm","Modern Masters 2015 Edition","243","","","","","","","","","",""
"4","0","Grapeshot","Time Spiral","160","","","","","","","","","",""
"1","0","Indulgent Aristocrat","Innistrad: Crimson Vow Commander","130","","","","","","","","","",""
"1","0","Jhoira of the Ghitu","Time Spiral Remastered","256","","","","","","","","","",""
"1","0","Mana Leak","Stronghold","36","","","","","","","","","",""
"3","0","Masked Vandal","Kaldheim","184","","","","","","","","","",""
"3","0","Quirion Ranger","Modern Horizons 2","285","","","","","","","","","",""
"2","0","Reclamation Sage","Magic 2015 Core Set","194","","","","","","","","","",""
"1","0","Sage of Epityr","Time Spiral","74","","","","","","","","","",""
"1","0","Shadow Prophecy","Dominaria United","105","","","foil","","","","","","",""
"1","0","Simic Growth Chamber","Commander 2018","282","","","","","","","","","",""
"1","0","Simic Growth Chamber","Commander Legends","492","","","","","","","","","",""
"2","0","Skyfire Phoenix","Commander 2019","28","","","","","","","","","",""
"3","0","Squelch","Champions of Kamigawa","92","","","","","","","","","",""
"1","0","Stromkirk Captain","Innistrad: Crimson Vow Commander","157","","","","","","","","","",""
"4","0","Blightbeetle","Core Set 2020","87","","","","","","","","","",""
"1","0","Bump in the Night","Duel Decks: Sorin vs. Tibalt","57","","","","","","","","","",""
"1","0","Champion of Dusk","Innistrad: Crimson Vow Commander","124","","","","","","","","","",""
"1","0","Crippling Fear","Commander Legends: Battle for Baldur's Gate","745","","","","","","","","","",""
"4","0","Dread Shade","Dominaria","88","","","","","","","","","",""
"1","0","Everquill Phoenix","Ikoria: Lair of Behemoths","114","","","","","","","","","",""
"2","0","Fog","Archenemy","56","","","","","","","","","",""
"1","0","Foreboding Ruins","Innistrad: Crimson Vow Commander","174","","","","","","","","","",""
"1","0","Ichor Wellspring","The Brothers' War Retro Artifacts","84","","","","","","","","","",""
"4","0","Llanowar Elves","Fourth Edition","261","","","","","","","","","",""
"4","0","Phantasmagorian","Planar Chaos","77","","","","","","","","","",""
"4","0","Shacklegeist","Core Set 2021","70","","","","","","","","","",""
"1","0","Sulfurous Mire","Kaldheim","270","","","","","","","","","",""
"4","0","Thorn of the Black Rose","Conspiracy: Take the Crown","48","","","","","","","","","",""
"2","0","Triskaidekaphobia","Shadows over Innistrad","141","","","","","","","","","",""
"4","0","Weather the Storm","Modern Horizons","191","","","","","","","","","",""
"1","0","Bag of Holding","Core Set 2020","222","","","","","","","","","",""
"1","0","Kamber, the Plunderer","Innistrad: Crimson Vow Commander","19","","","","","","","","","",""
